,train_size,test_size,length,classes
ACSF1,100,100,1460,10
Adiac,390,391,176,37
ArrowHead,36,175,251,3
Beef,30,30,470,5
BeetleFly,20,20,512,2
BirdChicken,20,20,512,2
BME,30,150,128,3
Car,60,60,577,4
CBF,30,900,128,3
Chinatown,20,343,24,2
ChlorineConcentration,467,3840,166,3
CinCECGTorso,40,1380,1639,4
Coffee,28,28,286,2
Computers,250,250,720,2
CricketX,390,390,300,12
CricketY,390,390,300,12
CricketZ,390,390,300,12
Crop,7200,16800,46,24
DiatomSizeReduction,16,306,345,4
DistalPhalanxOutlineCorrect,600,276,80,2
DistalPhalanxOutlineAgeGroup,400,139,80,3
DistalPhalanxTW,400,139,80,6
Earthquakes,322,139,512,2
ECG200,100,100,96,2
ECG5000,500,4500,140,5
ECGFiveDays,23,861,136,2
ElectricDevices,8926,7711,96,7
EOGHorizontalSignal,362,362,1250,12
EOGVerticalSignal,362,362,1250,12
EthanolLevel,504,500,1751,4
FaceAll,560,1690,131,14
FaceFour,24,88,350,4
FacesUCR,200,2050,131,14
FiftyWords,450,455,270,50
Fish,175,175,463,7
FordA,3601,1320,500,2
FordB,3636,810,500,2
FreezerRegularTrain,150,2850,301,2
FreezerSmallTrain,28,2850,301,2
Fungi,18,186,201,18
GunPoint,50,150,150,2
GunPointAgeSpan,135,316,150,2
GunPointMaleVersusFemale,135,316,150,2
GunPointOldVersusYoung,136,315,150,2
Ham,109,105,431,2
HandOutlines,1000,370,2709,2
Haptics,155,308,1092,5
Herring,64,64,512,2
HouseTwenty,40,119,2000,2
InlineSkate,100,550,1882,7
InsectEPGRegularTrain,62,249,601,3
InsectEPGSmallTrain,17,249,601,3
InsectWingbeatSound,220,1980,256,11
ItalyPowerDemand,67,1029,24,2
LargeKitchenAppliances,375,375,720,3
Lightning2,60,61,637,2
Lightning7,70,73,319,7
Mallat,55,2345,1024,8
Meat,60,60,448,3
MedicalImages,381,760,99,10
MiddlePhalanxOutlineCorrect,600,291,80,2
MiddlePhalanxOutlineAgeGroup,400,154,80,3
MiddlePhalanxTW,399,154,80,6
MixedShapesRegularTrain,500,2425,1024,5
MixedShapesSmallTrain,100,2425,1024,5
MoteStrain,20,1252,84,2
NonInvasiveFetalECGThorax1,1800,1965,750,42
NonInvasiveFetalECGThorax2,1800,1965,750,42
OliveOil,30,30,570,4
OSULeaf,200,242,427,6
PhalangesOutlinesCorrect,1800,858,80,2
Phoneme,214,1896,1024,39
PigAirwayPressure,104,208,2000,52
PigArtPressure,104,208,2000,52
PigCVP,104,208,2000,52
Plane,105,105,144,7
PowerCons,180,180,144,2
ProximalPhalanxOutlineCorrect,600,291,80,2
ProximalPhalanxOutlineAgeGroup,400,205,80,3
ProximalPhalanxTW,400,205,80,6
RefrigerationDevices,375,375,720,3
Rock,20,50,2844,4
ScreenType,375,375,720,3
SemgHandGenderCh2,300,600,1500,2
SemgHandMovementCh2,450,450,1500,6
SemgHandSubjectCh2,450,450,1500,5
ShapeletSim,20,180,500,2
ShapesAll,600,600,512,60
SmallKitchenAppliances,375,375,720,3
SmoothSubspace,150,150,15,3
SonyAIBORobotSurface1,20,601,70,2
SonyAIBORobotSurface2,27,953,65,2
StarLightCurves,1000,8236,1024,3
Strawberry,613,370,235,2
SwedishLeaf,500,625,128,15
Symbols,25,995,398,6
SyntheticControl,300,300,60,6
ToeSegmentation1,40,228,277,2
ToeSegmentation2,36,130,343,2
Trace,100,100,275,4
TwoLeadECG,23,1139,82,2
TwoPatterns,1000,4000,128,4
UMD,36,144,150,3
UWaveGestureLibraryAll,896,3582,945,8
UWaveGestureLibraryX,896,3582,315,8
UWaveGestureLibraryY,896,3582,315,8
UWaveGestureLibraryZ,896,3582,315,8
Wafer,1000,6164,152,2
Wine,57,54,234,2
WordSynonyms,267,638,270,25
Worms,181,77,900,5
WormsTwoClass,181,77,900,2
Yoga,300,3000,426,2
