strategy_name,Accuracy mean,ROC AUC mean,fit runtime mean,predict runtime mean,Accuracy efficency,ROC AUC efficency
ST_SG_p05_w10,66.566,86.649,5.952,4.584,15.236,103.539
ST_SG_RSFS_p0005_w10,69.639,87.095,5.77,3.76,26.77,115.385
ST_SG_nw20_w20,75.042,87.376,9.746,5.732,40.425,71.72
ST_SG_nw20_w30,75.488,87.576,13.466,8.395,31.604,53.742
ST_SG_p005_w10,69.16,87.906,6.002,4.874,23.686,127.662
ST_SG_RSFS_nw200_w10,74.966,88.107,5.482,3.206,70.926,144.735
ST_SG_ES_nw300_w10,76.224,88.165,6.228,3.195,77.643,128.698
ST_SG_RSFS_nw200_w20,75.261,88.267,9.369,6.057,43.68,87.071
ST_SG_nw50_w30,77.077,88.43,13.475,8.418,41.598,62.264
ST_SG_p0005_w10,71.729,88.455,6.456,4.94,34.368,130.523
ST_SG_nw50_w20,76.744,88.469,9.348,5.755,56.601,90.358
ST_SG_nw300_w10,76.627,88.846,5.692,3.344,91.079,158.425
ST_SG_nw100_w20,76.41,88.88,9.363,5.833,53.335,96.892
ST_SG_nw100_w30,76.832,88.997,13.578,8.455,39.568,68.176
ST_SG_nw300_w20,76.701,89.025,9.65,6.287,54.424,96.394
ST_SG_nw200_w10,76.542,89.06,5.588,3.194,91.43,167.484
ST_SG_nw200_w30,77.046,89.146,13.754,8.687,40.536,69.063
ST_SG_nw400_w20,76.364,89.179,9.761,6.796,50.749,97.878
ST_SG_nw200_w20,76.659,89.25,9.517,5.985,54.784,101.623
