strategy_name,Accuracy mean,ROC AUC mean,fit runtime mean,predict runtime mean,Accuracy efficency,ROC AUC efficency
ST_SG_SVC_poly5,66.142,83.29,8.63,5.71,9.765,39.904
ST_SG_SVC_poly3,69.959,85.98,8.493,5.737,19.226,64.628
ST_SG_DS_RandomForest,73.957,86.443,9.231,5.757,35.359,64.417
ST_SG_RSFS_SVC_rbf,74.893,87.893,8.49,5.787,45.221,90.05
ST_SG_SVC_rbf_balanced,75.127,88.249,8.669,5.82,46.119,93.798
ST_SG_RSFS_RandomForest,75.784,88.571,9.241,5.769,48.484,93.049
ST_SG_LogisticRegression_lib,75.893,87.435,8.344,5.659,54.718,84.628
ST_SG_SVC_rbf,76.112,88.26,8.541,5.758,55.527,95.395
ST_SG_RandomForest_Entropy,76.323,88.856,9.386,5.794,52.405,96.253
ST_SG_RandomForest,76.41,88.88,9.346,5.753,53.429,97.062
ST_SG_SVC_sigmoid,76.466,86.357,8.456,5.695,59.627,69.282
ST_SG_RSFS_LogisticRegression,76.581,86.991,7.689,5.675,66.897,85.035
ST_SG_RandomForest_MF40,77.519,88.109,10.238,5.75,59.109,77.518
ST_SG_LogisticRegression,77.533,87.464,8.24,5.622,73.624,86.134
ST_SG_RandomForest_L2,77.87,88.736,9.284,5.769,69.268,95.31
