strategy_name,Accuracy mean,ROC AUC mean,fit runtime mean,predict runtime mean,Accuracy efficency,ROC AUC efficency
Ensemble_S40_singleW,70.06,86.02,63.609,144.047,2.612,8.688
Ensemble_S60_singleW,71.113,86.157,94.84,195.805,2.103,5.967
Ensemble_S40_singleW_frac01,71.577,87.268,73.618,144.989,2.935,9.319
Ensemble_S60_singleW_frac01,71.624,87.41,106.633,199.83,2.043,6.593
Ensemble_S10,75.18,87.941,54.129,200.663,7.455,14.243
Ensemble_S10_halfW,75.103,88.117,33.912,93.381,11.739,23.436
Ensemble_S40_singleW_frac02,73.636,88.27,85.724,145.586,3.602,9.52
Ensemble_S20_halfW,74.255,88.297,70.179,208.135,4.898,11.685
Ensemble_S30_singleW_frac02,74.223,88.376,63.24,103.129,5.405,13.145
Ensemble_S10_halfW_frac03,75.69,88.611,42.3,94.783,10.42,20.47
Ensemble_S30_singleW_frac03,73.797,88.66,73.196,103.721,4.338,11.929
Ensemble_S30_singleW_frac04_sfa3_parallel5,75.115,88.814,38.518,231.122,10.358,23.284
Ensemble_S10_halfW_frac05_parallel3,76.522,89.113,30.668,95.115,16.602,30.797
Ensemble_S30_singleW_frac06_sfa3_parallel5,76.35,89.154,49.687,232.853,9.946,19.143
Ensemble_S30_singleW_frac02_sfa4_parallel6,76.341,89.156,47.142,173.068,10.466,20.185
Ensemble_S30_singleW_frac06,76.732,89.181,104.967,109.761,5.03,9.105
Ensemble_S10_halfW_frac06_parallel3,77.297,89.224,34.449,94.523,16.903,27.951
Ensemble_S30_singleW_frac06_sfa5,76.789,89.227,130.658,160.736,4.081,7.373
Ensemble_S10_halfW_frac06,77.151,89.229,69.188,96.114,8.206,13.928
